timestamp(KST),open,high,low,close,volume
2025-03-03 10:43:00,3667000,3675000,3665000,3671000,64.47583006
2025-03-03 10:44:00,3675000,3675000,3667000,3670000,73.31309535
2025-03-03 10:45:00,3672000,3672000,3660000,3663000,82.04142331
2025-03-03 10:46:00,3664000,3669000,3663000,3668000,40.39137394
2025-03-03 10:47:00,3668000,3670000,3665000,3668000,38.96966989
2025-03-03 10:48:00,3668000,3670000,3666000,3667000,31.43154905
2025-03-03 10:49:00,3668000,3668000,3660000,3661000,63.21694274
2025-03-03 10:50:00,3661000,3667000,3661000,3665000,77.15870447
2025-03-03 10:51:00,3667000,3669000,3659000,3664000,106.16687942
2025-03-03 10:52:00,3664000,3666000,3662000,3665000,35.07638933
2025-03-03 10:53:00,3666000,3666000,3663000,3665000,20.52165927
2025-03-03 10:54:00,3665000,3671000,3664000,3669000,61.51148326
2025-03-03 10:55:00,3669000,3678000,3668000,3676000,37.12694715
2025-03-03 10:56:00,3676000,3677000,3674000,3674000,381.90623828
2025-03-03 10:57:00,3674000,3675000,3671000,3674000,46.89125864
2025-03-03 10:58:00,3675000,3678000,3674000,3678000,53.95662436
2025-03-03 10:59:00,3678000,3679000,3675000,3678000,81.16880504
2025-03-03 11:00:00,3678000,3680000,3675000,3677000,79.0513084
2025-03-03 11:01:00,3677000,3678000,3674000,3678000,29.00680819
2025-03-03 11:02:00,3679000,3680000,3678000,3678000,31.99086709
2025-03-03 11:03:00,3680000,3680000,3672000,3672000,100.98067564
2025-03-03 11:04:00,3672000,3673000,3669000,3670000,92.15813817
2025-03-03 11:05:00,3670000,3672000,3662000,3663000,43.79248025
2025-03-03 11:06:00,3663000,3663000,3646000,3653000,129.50188546
2025-03-03 11:07:00,3655000,3657000,3651000,3653000,34.27644709
2025-03-03 11:08:00,3653000,3654000,3648000,3651000,87.16765712
2025-03-03 11:09:00,3651000,3653000,3648000,3651000,57.58033086
2025-03-03 11:10:00,3651000,3654000,3648000,3652000,137.32816321
2025-03-03 11:11:00,3652000,3659000,3649000,3652000,201.84039168
2025-03-03 11:12:00,3654000,3656000,3649000,3652000,53.79641389
2025-03-03 11:13:00,3650000,3658000,3649000,3654000,29.02522183
2025-03-03 11:14:00,3654000,3655000,3651000,3654000,31.01381602
2025-03-03 11:15:00,3654000,3658000,3652000,3658000,63.2964263
2025-03-03 11:16:00,3655000,3658000,3650000,3652000,53.04814841
2025-03-03 11:17:00,3652000,3652000,3646000,3646000,106.19223411
2025-03-03 11:18:00,3646000,3651000,3644000,3649000,36.84861867
2025-03-03 11:19:00,3649000,3657000,3649000,3652000,42.76083978
