timestamp,date_time,open_price,high_price,low_price,trade_price,volume
1741851999000,2025-03-13T16:46:39,123271000,123271000,123271000,123271000,0.00236798
1741852006000,2025-03-13T16:46:46,123271000,123271000,123271000,123271000,0.00016883
1741852009000,2025-03-13T16:46:49,123270000,123271000,123270000,123271000,0.03154463
1741852016000,2025-03-13T16:46:56,123272000,123272000,123272000,123272000,0.005
1741852018000,2025-03-13T16:46:58,123272000,123315000,123272000,123315000,0.0039747
1741852020000,2025-03-13T16:47:00,123315000,123315000,123315000,123315000,0.00044598
1741852023000,2025-03-13T16:47:03,123301000,123301000,123228000,123228000,0.0404503
1741852033000,2025-03-13T16:47:13,123223000,123223000,123223000,123223000,0.00008438
1741852035000,2025-03-13T16:47:15,123222000,123222000,123222000,123222000,0.00080685
1741852037000,2025-03-13T16:47:17,123224000,123315000,123224000,123315000,0.0033497
1741852045000,2025-03-13T16:47:25,123240000,123240000,123234000,123234000,0.00407689
1741852046000,2025-03-13T16:47:26,123249000,123249000,123249000,123249000,0.00243488
1741852049000,2025-03-13T16:47:29,123315000,123315000,123315000,123315000,0.00365757
1741852050000,2025-03-13T16:47:30,123231000,123231000,123219000,123220000,0.03927941
1741852054000,2025-03-13T16:47:34,123235000,123235000,123235000,123235000,0.00101692
1741852059000,2025-03-13T16:47:39,123235000,123235000,123235000,123235000,0.00041242
1741852066000,2025-03-13T16:47:46,123251000,123251000,123251000,123251000,0.00016235
1741852076000,2025-03-13T16:47:56,123251000,123251000,123251000,123251000,0.00094798
1741852077000,2025-03-13T16:47:57,123235000,123235000,123235000,123235000,0.00321764
1741852079000,2025-03-13T16:47:59,123251000,123251000,123213000,123213000,0.00945538
1741852080000,2025-03-13T16:48:00,123251000,123251000,123251000,123251000,0.00028406
1741852082000,2025-03-13T16:48:02,123251000,123251000,123251000,123251000,0.01148082
1741852087000,2025-03-13T16:48:07,123315000,123315000,123315000,123315000,0.00004925
1741852088000,2025-03-13T16:48:08,123315000,123315000,123315000,123315000,0.00020018
1741852089000,2025-03-13T16:48:09,123315000,123315000,123315000,123315000,0.00643447
1741852092000,2025-03-13T16:48:12,123315000,123315000,123315000,123315000,0.00201015
1741852097000,2025-03-13T16:48:17,123308000,123315000,123308000,123315000,0.01959355
1741852098000,2025-03-13T16:48:18,123251000,123251000,123251000,123251000,0.00843625
1741852099000,2025-03-13T16:48:19,123315000,123315000,123315000,123315000,0.00044842
1741852101000,2025-03-13T16:48:21,123252000,123252000,123252000,123252000,0.00792181
1741852114000,2025-03-13T16:48:34,123261000,123261000,123261000,123261000,0.00089821
1741852115000,2025-03-13T16:48:35,123261000,123261000,123261000,123261000,0.00811346
1741852116000,2025-03-13T16:48:36,123261000,123261000,123261000,123261000,0.01006477
1741852120000,2025-03-13T16:48:40,123315000,123315000,123315000,123315000,0.00162186
1741852122000,2025-03-13T16:48:42,123261000,123261000,123252000,123252000,0.01
1741852126000,2025-03-13T16:48:46,123261000,123315000,123251000,123315000,0.06481039
1741852130000,2025-03-13T16:48:50,123311000,123312000,123311000,123312000,0.00324538
1741852132000,2025-03-13T16:48:52,123312000,123315000,123312000,123315000,0.01
1741852134000,2025-03-13T16:48:54,123315000,123315000,123315000,123315000,0.00005241
1741852137000,2025-03-13T16:48:57,123315000,123315000,123315000,123315000,0.00410706
1741852139000,2025-03-13T16:48:59,123314000,123314000,123314000,123314000,0.00005242
1741852140000,2025-03-13T16:49:00,123314000,123315000,123314000,123315000,0.00044598
1741852142000,2025-03-13T16:49:02,123315000,123315000,123315000,123315000,0.00004095
1741852149000,2025-03-13T16:49:09,123255000,123255000,123255000,123255000,0.00019613
1741852155000,2025-03-13T16:49:15,123255000,123255000,123255000,123255000,0.00029136
1741852157000,2025-03-13T16:49:17,123255000,123255000,123255000,123255000,0.0002434
1741852162000,2025-03-13T16:49:22,123261000,123261000,123261000,123261000,0.0017
1741852169000,2025-03-13T16:49:29,123255000,123255000,123255000,123255000,0.00004867
1741852172000,2025-03-13T16:49:32,123315000,123315000,123315000,123315000,0.02431579
1741852174000,2025-03-13T16:49:34,123315000,123315000,123315000,123315000,0.00243158
1741852182000,2025-03-13T16:49:42,123255000,123255000,123255000,123255000,0.00338694
1741852185000,2025-03-13T16:49:45,123255000,123255000,123255000,123255000,0.00004867
1741852186000,2025-03-13T16:49:46,123315000,123315000,123315000,123315000,0.00081046
1741852188000,2025-03-13T16:49:48,123315000,123315000,123315000,123315000,0.00056765
1741852193000,2025-03-13T16:49:53,123315000,123315000,123315000,123315000,0.00008109
1741852198000,2025-03-13T16:49:58,123256000,123256000,123256000,123256000,0.00005665
1741852199000,2025-03-13T16:49:59,123315000,123315000,123315000,123315000,0.00004717
1741852200000,2025-03-13T16:50:00,123258000,123258000,123258000,123258000,0.00004865
1741852208000,2025-03-13T16:50:08,123269000,123269000,123269000,123269000,0.0025386
1741852214000,2025-03-13T16:50:14,123268000,123268000,123268000,123268000,0.0005
1741852216000,2025-03-13T16:50:16,123315000,123315000,123315000,123315000,0.00162105
1741852220000,2025-03-13T16:50:20,123315000,123315000,123315000,123315000,0.00073354
1741852222000,2025-03-13T16:50:22,123315000,123330000,123315000,123330000,0.26261548
1741852227000,2025-03-13T16:50:27,123315000,123315000,123315000,123315000,0.00405788
1741852228000,2025-03-13T16:50:28,123345000,123350000,123345000,123350000,0.01621665
1741852229000,2025-03-13T16:50:29,123315000,123315000,123315000,123315000,0.0600439
1741852231000,2025-03-13T16:50:31,123315000,123315000,123315000,123315000,0.00089775
1741852234000,2025-03-13T16:50:34,123330000,123365000,123330000,123365000,0.01186989
1741852242000,2025-03-13T16:50:42,123365000,123365000,123365000,123365000,0.00348431
1741852245000,2025-03-13T16:50:45,123365000,123365000,123365000,123365000,0.0008106
1741852249000,2025-03-13T16:50:49,123315000,123315000,123315000,123315000,0.00143774
1741852252000,2025-03-13T16:50:52,123365000,123365000,123365000,123365000,0.00365388
1741852254000,2025-03-13T16:50:54,123315000,123315000,123315000,123315000,0.00352365
1741852258000,2025-03-13T16:50:58,123315000,123322000,123315000,123322000,0.00189579
1741852260000,2025-03-13T16:51:00,123322000,123322000,123315000,123315000,0.01281084
1741852262000,2025-03-13T16:51:02,123315000,123322000,123315000,123322000,0.00503072
1741852264000,2025-03-13T16:51:04,123315000,123315000,123315000,123315000,0.41944912
1741852270000,2025-03-13T16:51:10,123335000,123335000,123335000,123335000,0.00810394
1741852274000,2025-03-13T16:51:14,123315000,123315000,123315000,123315000,0.00363566
1741852275000,2025-03-13T16:51:15,123315000,123315000,123315000,123315000,0.00156933
1741852278000,2025-03-13T16:51:18,123335000,123335000,123335000,123335000,0.00081082
1741852283000,2025-03-13T16:51:23,123335000,123335000,123335000,123335000,0.00081082
1741852287000,2025-03-13T16:51:27,123315000,123315000,123315000,123315000,0.00242724
1741852288000,2025-03-13T16:51:28,123335000,123335000,123335000,123335000,0.00089189
1741852292000,2025-03-13T16:51:32,123335000,123335000,123335000,123335000,0.00202699
1741852301000,2025-03-13T16:51:41,123335000,123335000,123335000,123335000,0.00081079
1741852303000,2025-03-13T16:51:43,123335000,123335000,123335000,123335000,0.00023908
1741852307000,2025-03-13T16:51:47,123334000,123335000,123334000,123335000,0.09656504
1741852308000,2025-03-13T16:51:48,123365000,123365000,123365000,123365000,0.00405303
1741852309000,2025-03-13T16:51:49,123335000,123335000,123335000,123335000,0.03241491
1741852310000,2025-03-13T16:51:50,123335000,123335000,123335000,123335000,0.00818762
1741852311000,2025-03-13T16:51:51,123365000,123365000,123365000,123365000,0.00081062
1741852312000,2025-03-13T16:51:52,123365000,123365000,123365000,123365000,0.00019018
1741852316000,2025-03-13T16:51:56,123335000,123335000,123335000,123335000,0.00373
1741852317000,2025-03-13T16:51:57,123365000,123365000,123365000,123365000,0.0016212
1741852319000,2025-03-13T16:51:59,123365000,123365000,123365000,123365000,0.00355386
1741852320000,2025-03-13T16:52:00,123365000,123365000,123365000,123365000,0.00081059
1741852322000,2025-03-13T16:52:02,123336000,123365000,123336000,123365000,0.0026212
1741852323000,2025-03-13T16:52:03,123365000,123365000,123365000,123365000,0.00081062
1741852326000,2025-03-13T16:52:06,123365000,123365000,123365000,123365000,0.00053778
1741852327000,2025-03-13T16:52:07,123336000,123336000,123336000,123336000,0.001
1741852328000,2025-03-13T16:52:08,123365000,123365000,123336000,123336000,0.00991597
1741852329000,2025-03-13T16:52:09,123336000,123365000,123336000,123365000,0.01299507
1741852331000,2025-03-13T16:52:11,123365000,123365000,123336000,123336000,0.06399428
1741852332000,2025-03-13T16:52:12,123336000,123336000,123336000,123336000,0.00065277
1741852333000,2025-03-13T16:52:13,123365000,123370000,123365000,123370000,0.05344814
1741852334000,2025-03-13T16:52:14,123336000,123336000,123336000,123336000,0.003467
1741852335000,2025-03-13T16:52:15,123336000,123336000,123336000,123336000,0.2
1741852336000,2025-03-13T16:52:16,123336000,123370000,123336000,123370000,0.00089178
1741852343000,2025-03-13T16:52:23,123336000,123365000,123336000,123365000,0.01378423
1741852346000,2025-03-13T16:52:26,123365000,123370000,123365000,123370000,0.00081059
1741852347000,2025-03-13T16:52:27,123370000,123370000,123370000,123370000,0.00048634
1741852348000,2025-03-13T16:52:28,123365000,123365000,123365000,123365000,0.07013508
1741852351000,2025-03-13T16:52:31,123361000,123361000,123361000,123361000,0.00004053
1741852352000,2025-03-13T16:52:32,123336000,123336000,123336000,123336000,0.0486
1741852355000,2025-03-13T16:52:35,123336000,123336000,123336000,123336000,0.00350999
1741852356000,2025-03-13T16:52:36,123361000,123361000,123336000,123336000,0.13951328
1741852357000,2025-03-13T16:52:37,123361000,123361000,123361000,123361000,0.00111022
