timestamp,open,high,low,close,volume
2024-12-03 00:00:00,133523000,133624000,133521000,133604000,7.40635867
2024-12-03 00:01:00,133588000,133660000,133525000,133525000,5.77495298
2024-12-03 00:02:00,133528000,133608000,133510000,133510000,4.07483654
2024-12-03 00:03:00,133513000,133552000,133490000,133499000,5.33763882
2024-12-03 00:04:00,133499000,133500000,133456000,133480000,6.85464002
2024-12-03 00:05:00,133480000,133496000,133430000,133456000,8.00844105
2024-12-03 00:06:00,133456000,133494000,133378000,133429000,4.93540273
2024-12-03 00:07:00,133429000,133494000,133357000,133389000,5.28063734
2024-12-03 00:08:00,133381000,133474000,133357000,133474000,4.21783132
2024-12-03 00:09:00,133474000,133515000,133388000,133510000,7.38774094
2024-12-03 00:10:00,133490000,133623000,133462000,133623000,2.91740603
2024-12-03 00:11:00,133623000,133800000,133621000,133800000,8.821077
2024-12-03 00:12:00,133800000,133925000,133748000,133883000,4.55110025
2024-12-03 00:13:00,133900000,134000000,133883000,134000000,5.72478562
2024-12-03 00:14:00,134000000,134007000,133998000,134001000,7.56173864
2024-12-03 00:15:00,134001000,134100000,134000000,134036000,7.96837719
2024-12-03 00:16:00,134036000,134111000,134007000,134020000,3.89122475
2024-12-03 00:17:00,134059000,134099000,134001000,134045000,5.65113042
2024-12-03 00:18:00,134045000,134150000,134010000,134148000,5.43892438
2024-12-03 00:19:00,134148000,134155000,134143000,134152000,5.56044065
2024-12-03 00:20:00,134152000,134155000,134114000,134147000,3.7145514
2024-12-03 00:21:00,134144000,134146000,134046000,134071000,3.63160812
2024-12-03 00:22:00,134071000,134114000,134006000,134007000,13.30019736
2024-12-03 00:23:00,134007000,134008000,133900000,133937000,8.14981887
2024-12-03 00:24:00,133937000,134100000,133870000,134097000,12.78859779
2024-12-03 00:25:00,134035000,134097000,133929000,133943000,2.24175377
2024-12-03 00:26:00,133942000,133942000,133750000,133839000,2.94521193
2024-12-03 00:27:00,133839000,133839000,133712000,133723000,5.19073098
2024-12-03 00:28:00,133723000,133821000,133711000,133820000,3.48989344
2024-12-03 00:29:00,133820000,133893000,133720000,133736000,4.11879558
2024-12-03 00:30:00,133732000,133893000,133720000,133752000,3.40165423
2024-12-03 00:31:00,133752000,133861000,133751000,133792000,2.7852821
2024-12-03 00:32:00,133792000,133793000,133749000,133750000,3.89477959
2024-12-03 00:33:00,133750000,133750000,133650000,133677000,5.82634623
2024-12-03 00:34:00,133677000,133700000,133540000,133676000,3.7757582
2024-12-03 00:35:00,133650000,133782000,133650000,133782000,3.5218818
2024-12-03 00:36:00,133785000,134088000,133782000,134050000,6.85647052
2024-12-03 00:37:00,134085000,134100000,134000000,134100000,3.25534155
2024-12-03 00:38:00,134100000,134138000,134032000,134034000,9.15207989
2024-12-03 00:39:00,134091000,134099000,134000000,134020000,6.14648994
2024-12-03 00:40:00,134028000,134099000,134000000,134035000,5.14838157
2024-12-03 00:41:00,134036000,134036000,133824000,133880000,5.21509108
2024-12-03 00:42:00,133921000,133921000,133824000,133915000,1.85010078
2024-12-03 00:43:00,133915000,133921000,133881000,133911000,2.75458721
2024-12-03 00:44:00,133910000,134001000,133881000,133999000,2.25233882
2024-12-03 00:45:00,133924000,134075000,133924000,134061000,2.08325425
2024-12-03 00:46:00,134083000,134250000,134051000,134197000,7.73200464
2024-12-03 00:47:00,134211000,134211000,134197000,134210000,1.39725178
2024-12-03 00:48:00,134210000,134219000,134150000,134184000,3.10599937
2024-12-03 00:49:00,134184000,134184000,134084000,134159000,2.33273868
2024-12-03 00:50:00,134159000,134159000,134085000,134101000,1.92014508
2024-12-03 00:51:00,134100000,134101000,134018000,134083000,1.7313336
2024-12-03 00:52:00,134083000,134083000,134001000,134027000,0.76704393
2024-12-03 00:53:00,134027000,134027000,133920000,133988000,1.97632849
2024-12-03 00:54:00,133980000,133988000,133920000,133921000,1.80202673
2024-12-03 00:55:00,133960000,134050000,133921000,134050000,4.56717186
2024-12-03 00:56:00,134050000,134084000,134000000,134039000,3.88956273
2024-12-03 00:57:00,134039000,134080000,133959000,134079000,1.44630816
2024-12-03 00:58:00,134079000,134079000,133967000,133967000,0.9610816
2024-12-03 00:59:00,133967000,134000000,133959000,133970000,3.28174026
2024-12-03 01:00:00,133970000,134000000,133959000,133959000,1.97101038
2024-12-03 01:01:00,133996000,133996000,133900000,133915000,2.07463308
2024-12-03 01:02:00,133959000,133996000,133916000,133926000,2.12392363
2024-12-03 01:03:00,133926000,133930000,133800000,133867000,4.19311058
2024-12-03 01:04:00,133867000,133867000,133800000,133836000,2.26039614
2024-12-03 01:05:00,133810000,133836000,133725000,133728000,4.17788955
2024-12-03 01:06:00,133728000,133840000,133706000,133741000,7.69861195
2024-12-03 01:07:00,133797000,133834000,133739000,133797000,1.27700839
2024-12-03 01:08:00,133798000,133832000,133743000,133815000,2.5483666
2024-12-03 01:09:00,133815000,133815000,133700000,133815000,4.11641405
2024-12-03 01:10:00,133815000,133815000,133716000,133801000,2.82967977
2024-12-03 01:11:00,133801000,133801000,133732000,133763000,4.33968844
2024-12-03 01:12:00,133750000,133763000,133715000,133732000,2.71784856
2024-12-03 01:13:00,133761000,133763000,133701000,133761000,3.03101856
2024-12-03 01:14:00,133761000,133762000,133710000,133760000,2.92270035
2024-12-03 01:15:00,133762000,133763000,133717000,133757000,3.96797988
2024-12-03 01:16:00,133755000,133778000,133717000,133775000,2.82270436
2024-12-03 01:17:00,133778000,133810000,133740000,133777000,2.95051816
2024-12-03 01:18:00,133779000,133806000,133715000,133785000,2.74389408
2024-12-03 01:19:00,133785000,133786000,133599000,133603000,7.40170452
2024-12-03 01:20:00,133603000,133697000,133500000,133581000,4.05477542
2024-12-03 01:21:00,133500000,133582000,133456000,133456000,2.25790787
2024-12-03 01:22:00,133508000,133562000,133388000,133536000,4.24497351
2024-12-03 01:23:00,133536000,133536000,133389000,133471000,3.50897833
2024-12-03 01:24:00,133471000,133500000,133428000,133428000,2.70815305
2024-12-03 01:25:00,133430000,133472000,133428000,133472000,4.59136612
2024-12-03 01:26:00,133434000,133472000,133392000,133428000,3.80763805
2024-12-03 01:27:00,133428000,133435000,133388000,133434000,2.83794029
2024-12-03 01:28:00,133434000,133472000,133400000,133444000,2.19221997
2024-12-03 01:29:00,133442000,133443000,133388000,133397000,2.94105813
2024-12-03 01:30:00,133399000,133399000,133383000,133385000,1.89406981
2024-12-03 01:31:00,133385000,133443000,133375000,133443000,5.22780781
2024-12-03 01:32:00,133443000,133535000,133371000,133535000,3.44422579
2024-12-03 01:33:00,133535000,133675000,133501000,133626000,3.12456839
2024-12-03 01:34:00,133626000,133670000,133501000,133626000,2.32456389
2024-12-03 01:35:00,133536000,133626000,133523000,133623000,1.3183457
2024-12-03 01:36:00,133623000,133623000,133501000,133531000,2.76162301
2024-12-03 01:37:00,133586000,133596000,133474000,133500000,3.42091236
2024-12-03 01:38:00,133525000,133595000,133500000,133589000,3.92399288
2024-12-03 01:39:00,133589000,133625000,133499000,133624000,2.98393322
2024-12-03 01:40:00,133625000,133625000,133535000,133625000,1.73236997
2024-12-03 01:41:00,133600000,133626000,133535000,133625000,2.10031139
2024-12-03 01:42:00,133625000,133625000,133575000,133578000,1.41881901
2024-12-03 01:43:00,133570000,133580000,133535000,133536000,0.96466248
2024-12-03 01:44:00,133536000,133575000,133498000,133502000,3.49454078
2024-12-03 01:45:00,133502000,133598000,133476000,133598000,4.58173261
2024-12-03 01:46:00,133598000,133626000,133512000,133600000,2.11585301
2024-12-03 01:47:00,133537000,133631000,133537000,133600000,2.56822936
2024-12-03 01:48:00,133601000,133631000,133600000,133630000,4.48516934
2024-12-03 01:49:00,133631000,133640000,133604000,133631000,2.08407123
2024-12-03 01:50:00,133632000,133640000,133606000,133631000,1.7277547
2024-12-03 01:51:00,133632000,133773000,133627000,133744000,3.93949014
2024-12-03 01:52:00,133744000,133759000,133699000,133744000,1.19828444
2024-12-03 01:53:00,133725000,133747000,133699000,133731000,1.49079249
2024-12-03 01:54:00,133731000,133748000,133730000,133742000,1.3865637
2024-12-03 01:55:00,133742000,133747000,133604000,133674000,2.92538188
2024-12-03 01:56:00,133674000,133710000,133660000,133674000,1.74984677
2024-12-03 01:57:00,133709000,133736000,133674000,133711000,1.38204504
2024-12-03 01:58:00,133711000,133740000,133710000,133740000,1.38283604
2024-12-03 01:59:00,133740000,133777000,133726000,133753000,3.021887
2024-12-03 02:00:00,133753000,133786000,133737000,133753000,2.07193471
2024-12-03 02:01:00,133761000,133785000,133712000,133712000,1.37359355
2024-12-03 02:02:00,133740000,133740000,133654000,133654000,1.41011854
